#Name	RON	PubChem	>= 1 O	>= 1 any ring size 3	>= 1 any ring size 5	>= 1 any ring size 6	>= 1 any ring size 7	>= 1 any ring size 8	>= 1 aromatic ring	>= 1 hetero-aromatic ring	>= 1 saturated or aromatic carbon-only ring size 3	>= 1 saturated or aromatic carbon-only ring size 5	>= 1 saturated or aromatic carbon-only ring size 6	>= 1 saturated or aromatic carbon-only ring size 7	>= 1 saturated or aromatic carbon-only ring size 8	>= 1 saturated or aromatic heteroatom-containing ring size 5	>= 16 H	>= 2 O	>= 4 C	>= 8 C	>= 8 H	Auto-Ignition	Boiling Point	C(-C)(-C)(=C)	C(-C)(-C)(=O)	C(-C)(-H)(=C)	C(-C)(-H)(=O)	C(-C)(-O)(=O)	C(-C)(=C)	C(-C)(=O)	C(-H)(=C)	C(-H)(=O)	C(-O)(=O)	C(:C)(:C)	C(~C)(:C)	C(~C)(:C)(:C)	C(~C)(~C)	C(~C)(~C)(~C)	C(~C)(~C)(~C)(~C)	C(~C)(~C)(~C)(~H)	C(~C)(~C)(~C)(~O)	C(~C)(~C)(~H)(~O)	C(~C)(~C)(~O)	C(~C)(~H)(~O)	C(~C)(~O)	C(~H)(:C)	C(~H)(:C)(:C)	C(~H)(~H)(~H)	C(~H)(~O)	C(~O)(:C)	C(~O)(:C)(:C)	C(~O)(~O)	C-C(C)(C)-C-C	C-C(C)-C(C)-C	C-C(C)-C-C	C-C(C)-C-C-C	C-C-C(C)-C-C	C-C-C-C-C	C-C-C-C-C-C	C-C-C-C-C-C(C)-C	C-C-C-C-C-C-C	C-C-C-C-C-C-C-C	C-C-C-C:C	C-C-C-O-[#1]	C-C-C:C-C	C-C-C=C	C-C-C=C-C	C-C-O-C-C	C-C-O-C:C	C-C:C-C-C	C-C:C-C:C	C-C:C-O-C	C-C:C:C-C	C-C=C-C	C-C=C-C-C	C-C=C-C:C	C-C=C-C=C	C-O	C-O-C-C:C	C-O-C-C=C	C-O-C:C-C	C-O-C=C	C:C-C-C	C:C-C-C-C	C:C-C-C:C	C:C-C:C	C:C-C=C	C:C-C=C-C	C:C-O-C	C:C-O-C-C	C=C	C=C-C-C	C=C-C-C-C	C=C-C-O-C	C=C-C-O-[#1]	C=C-C:C	C=C-C=C	C=O	CC1C(C)CCC1	CC1C(C)CCCC1	CC1CC(C)CC1	CC1CC(C)CCC1	CC1CCC(C)CC1	Cc1c(C)cccc1	Cc1ccc(C)cc1	Complexity	Defined Bond Stereocenter Count	Density	Exact Mass	Flash Point	Heavy Atom Count	Hydrogen Bond Acceptor Count	Hydrogen Bond Donor Count	LogP	Melting Point	Molecular Weight	Monoisotopic Mass	O(:C)(:C)	O(~C)(~C)	O(~C)(~H)	O-C-C-C-C	O-C-C-C-C-C	O-C-C-C-C-C-C	O-C-C-C:C	O-C-C-C=C	O-C-C:C	O-C-C:C-C	O-C-C=C	O-C-C=C-C	O-C:C-C	O-C:C-C-C	O-C:C-[#1]	O-C:C:C-C	O-C=C-C	O-H	O=C-C-C	O=C-C-C-C	O=C-C-C-C-C	O=C-C-C:C	O=C-C:C	O=C-C:C-C	O=C-C=C	O=C-C=C-C	O=C-C=C-[#1]	PubChem	Rotatable Bond Count	Topological Polar Surface Area	Undefined Atom Stereocenter Count	Undefined Bond Stereocenter Count	Vapor Density	Vapor Pressure	XLogP3	XLogP3-AA	[#1]-C-C=C-[#1]	[#1]-C-O-[#1]	[#1]-C=C-[#1]
3-Methyl-1-Butene	97.5	11239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	689	20.1	0	0	1	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0.6213	70.07825	20	5	0	0	2.68162	-168.5	70.1329	70.07825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11239	1	0	0	0	2.48115	903	2.47357	2.2	1	0	1
2-Methyl-1-Butene	98.3	11240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	452.91417	31.2	1	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	35.3	0	0.6504	70.07825	-20	5	0	0	2.19365	-137.5	70.1329	70.07825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11240	1	0	0	0	2.35295	610	2.2126	2.5	1	0	0
"2,3-Dimethyl-1-Butene"	101.3	11249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	495.41194	66.02589	1	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	51.1	0	0.78811	84.0939	9.32015	6	0	0	1.89153	-121.1366	84.15948	84.0939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11249	1	0	0	0	2.31513	802.16415	2.8	3.69218	1	0	0
"2,3-Dimethyl-2-Butene"	97.4	11250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	375.7952	115.7762	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50.1	0	0.82864	84.0939	8.09463	6	0	0	2.0017	-128.93579	84.15948	84.0939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11250	0	0	0	0	2.15696	6793.03876	3.03497	2.9	0	0	0
3-Methyl-2-butanone	99.5	11251	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1.8	94.33	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	55	0	0.8501	86.07317	11.11111	6	1	0	0.84	-93.1	86.1323	86.07317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	11251	1	17.1	0	0	1	52.5	0.8	3.98303	0	0	0
"2,2,3-Trimethylpentane"	109.6	11255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	381.75445	81.57676	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56.9	0	9.61996	114.14085	16.45425	8	0	0	2.01135	-134.35203	114.22852	114.14085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11255	2	0	1	0	1.96558	5928.33748	3.29288	3.8	0	0	0
"2,3-Dimethylpentane"	91.1	11260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	436.84319	45.58918	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.3	0	0.69339	100.1252	-10.71706	7	0	0	2.2286	-137.35491	100.20194	100.1252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11260	2	0	1	0	2.23969	529.88875	2.34665	3.4	0	0	0
"2,3,4-Trimethylpentane"	102.7	11269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	427.13187	16.90056	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45.1	0	18.95331	114.14085	6.7092	8	0	0	1.56393	-120.54389	114.22852	114.14085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11269	2	0	0	0	2.037	19092.13362	3.58214	3.7	0	0	0
"2,3,4-Trimethyl-2-Pentene"	96.6	11270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	532.3467	44.09903	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	92.6	0	0.72935	112.1252	-2.32287	8	0	0	2.15068	-135.24798	112.21264	112.1252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11270	1	0	0	0	2.17751	1373.16417	2.17891	3.7	0	0	0
"2,4-dimethyl-3-pentanone"	100	11271	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	388.37489	97.80435	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	72.4	0	0.71807	114.10447	-17.54139	8	1	0	2.32593	-111.9039	114.18546	114.10447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	11271	2	17.1	0	0	2.33153	2241.18234	1.9	4.02084	0	0	0
"1,2-Dimethylcyclohexane"	80.9	11416	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	1	1	180.0171	85.81453	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	56.4	0	0.82644	112.1252	3.60781	8	0	0	0.96943	-96.26728	112.21264	112.1252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11416	0	0	2	0	1.67834	128.31063	1.25437	3.8	0	0	0
"2,3-Dimethylhexane"	71.3	11447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	133.36253	95.41538	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0.85088	114.14085	16.58972	8	0	0	0.758	-87.75838	114.22852	114.14085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11447	3	0	1	0	1.53236	58.96229	1.18639	4	0	0	0
3-Methylhexane	52	11507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	377.80131	118.10315	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0.77263	100.1252	4.50359	7	0	0	2.4874	-71.68002	100.20194	100.1252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11507	3	0	1	0	2.4251	152.1123	2.92275	3.7	0	0	0
"2,4-Dimethylhexane"	65.2	11511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	133.36253	95.41538	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0.85088	114.14085	16.58972	8	0	0	0.758	-87.75838	114.22852	114.14085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11511	3	0	1	0	1.53236	58.96229	1.18639	4	0	0	0
4-Methylheptane	26.7	11512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	421.54874	40.54197	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.3	0	0.7142	114.14085	-9.45624	8	0	0	2.47042	-130.47756	114.22852	114.14085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11512	4	0	0	0	2.17995	1367.45018	2.47436	4.3	0	0	0
3-Methylheptane	26.8	11519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	413.96474	106.93747	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.3	0	0.86836	114.14085	-6.40834	8	0	0	2.82147	-108.04056	114.22852	114.14085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11519	4	0	1	0	2.31178	134.89964	2.14694	4.3	0	0	0
"1,4-Dimethylcyclohexane"	67.7	11523	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	1	1	482.58873	212	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	48.4	0	0.79427	112.1252	27.86186	8	0	0	3.04477	70	112.21264	112.1252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11523	0	0	0	0	1.60919	1	3.04804	3.8	0	0	0
"2,2-Dimethylpentane"	92.8	11542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	522.10222	96.92826	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.5	0	0.80667	100.1252	5.75107	7	0	0	2.02413	-138.35976	100.20194	100.1252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11542	2	0	0	0	1.94984	7182.10511	1.957	3.6	0	0	0
"1,1-Dimethylcyclohexane"	87.3	11549	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	1	1	431.03264	81.96279	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.1	0	0.78811	112.1252	8.23577	8	0	0	2.43275	-82.92162	112.21264	112.1252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11549	0	0	0	0	2.75862	214.49328	1.97088	3.9	0	0	0
"2,2-Dimethylhexane"	72.5	11551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	321.64703	137.47332	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47.5	0	0.88984	114.14085	15.32427	8	0	0	2.01135	-128.19232	114.22852	114.14085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11551	3	0	0	0	1.60908	104.85829	3.4137	4.1	0	0	0
"1,3-Dimethylcyclohexane"	69.3	11564	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	1	1	436.78944	53.09055	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	58.4	0	0.7158	112.1252	-9.34032	8	0	0	2.22526	-137.27927	112.21264	112.1252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11564	0	0	2	0	2.23971	487.57674	2.32736	3.8	0	0	0
2-Methylhexane	42.4	11582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	220	90	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	1	100.1252	-18	7	0	0	2.68474	-118	100.20194	100.1252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11582	3	0	0	0	1	148.26791	3.3547	3.7	0	0	0
"2,5-Dimethylhexane"	55.2	11592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	492.12436	46.32672	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0.68382	114.14085	20.21985	8	0	0	2.43867	-121.29792	114.22852	114.14085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11592	3	0	0	0	2.40798	561.10077	2.79614	4	0	0	0
2-Methylheptane	21.7	11594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	471.198	116	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.3	0	1	114.14085	4.4	8	0	0	2.30907	-109	114.22852	114.14085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11594	4	0	0	0	1	1115.23692	2.33305	4.3	0	0	0
1-Hexene	76.4	11597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	487	63.4	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0.6731	84.0939	20	6	0	0	3.39	-139.7	84.15948	84.0939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11597	3	0	0	0	3	183.7	3.4	3.14943	1	0	1
3-Hexene	94	11601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	399.46875	148.37053	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	29.3	0	0.87448	84.0939	7.54603	6	0	0	2.42981	-122.05623	84.15948	84.0939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11601	2	0	0	1	2.10754	143.09019	1.97309	2.5	1	0	1
1-Heptene	54.5	11610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	500	93.6	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	37.3	0	0.697	98.10955	32	7	0	0	3.99	-119.7	98.18606	98.10955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11610	4	0	0	0	0.7	59.3	4	3.69928	1	0	1
2-Heptene	73.4	11611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	358.46853	88.68009	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	44	0	9.07301	98.10955	14.90945	7	0	0	2.672	-125.57099	98.18606	98.10955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11611	3	0	0	1	2.23388	8681.83971	2.50536	3.2	1	0	1
3-Heptene	90	11612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	431.43861	118.97448	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0.83061	98.10955	3.85279	7	0	0	2.2596	-115.72682	98.18606	98.10955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11612	3	0	0	1	2.8088	105.1486	2.23306	3.1	1	0	1
4-Octene	73.3	11621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	464.7351	120.10715	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	45.1	0	0.76195	112.1252	30.97431	8	0	0	2.12842	-49.81042	112.21264	112.1252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11621	4	0	0	1	2.26718	30.95988	2.71754	3.6	1	0	1
"2,2,3,3- tetramethyl-butane"	102.1	11675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	512.96799	88.84578	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0.7384	114.14085	13.71849	8	0	0	2.51539	-105.19588	114.22852	114.14085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11675	1	0	0	0	3.35794	179.378	3.12182	3.7	0	0	0
"3,4,4-Trimethyl-2-Pentene"	103	11738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	485.82494	134.03031	1	0	1	0	0	1	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	91.1	0	0.8505	112.1252	16.26828	8	0	0	2.12369	-43.44325	112.21264	112.1252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11738	1	0	0	1	2.12104	25.77561	2.11364	3.6	1	0	0
2-Methyl-3-ethylpentane	87.3	11863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	523.364	143.16503	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0.90532	114.14085	70.33589	8	0	0	2.05971	-36.88567	114.22852	114.14085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11863	3	0	0	0	2.17119	6.91446	2.02285	4	0	0	0
